X,Y,full_id,osm_id,osm_type,amenity,addr:door,source:name,diet:fish,highway,full_name,addr:building,contact:mobile,local_ref,name:yue-Hant,diet:lactose_free,lastcheck,contact:youtube,payment:amex,payment:onchain,payment:lightning,payment:coinos,currency:XBT,check_date:currency:XBT,fee,bottle,payment:google_pay,payment:apple_pay,diet:local,diet:dairy_free,payment:tcard,opening_date,parking,bicycle_parking,toilets:unisex,construction,diet:dairy,not:shop,membership,branch_name,drink:cola,vending,bar,office,memorial,material,historic,diet:non-halal,operator:wikipedia,payment:nfc_mobile_payments,emergency:exit,capacity:seats,dog,reservation,payment:qr_code,payment:cards,diet:non-vegetarian,diet:nut_free,website2,wikimedia_commons,barbecue,takeaway:covid19,open,name:ko,brand:ko,brand:en,disused:shop,name:ar,changing_table,addr:street:fr,gluten_free,addr:suburb,name:it,phone:mnemonic,lgbtq,payment:electronic_purses,payment:cryptocurrencies,not:name,tipping,seats,street_vendor,ele,name:ur,owner,payment:visa_debit,payment:nfc,payment:mastercard_debit,name:fr,brand:fr,alt_name:fr,dispensing,stars:system,stars,dine_in,phone:tollfree,cater,building:use,building:levels,building,diet:chicken,seating,survey:date,addr:place,alcohol,seasonal,wikipedia:fr,wikipedia:en,contact:email,former_name,level:ref,is_in,url,opening_hours:covid19,name:ru,cafe,operator:wikidata,source:date,fast_food,source:opening_hours,opening_hours:url,payment:gift_card,website:orders,diet:lacto_vegetarian,not:brand:wikidata,cost:coffee,drink,disused,microbrewery,catering,name:en,street_food,contact:website,contact:phone,disused:name,disused:cuisine,disused:brand:wikipedia,disused:brand:wikidata,disused:brand,disused:amenity,name:vi,indoor,entrance,door,diet:keto,toilets:access,delivery:just_eat,loc_name,wikipedia,just_eat,noname,description,access,check_date:smoking,check_date:diet:vegetarian,future,lottery,playplace,layer,healthcare,male,female,contact:twitter,contact:instagram,contact:facebook,payment:notes,payment:coins,name:zh,mapillary,email,llbo,diet:seafood,halal,unit,internet_access:ssid,short_name,payment:american_express,wikidata,diet:kosher,diet:halal,floor,website:fr,website:en,hst_number,opening_hours:signed,atm,self_service,shop,addr:floor,ref:store_number,website:menu,brand:website,opendata:type,ref:vatin,opening_hours:seating_area,image,diet:healthy,diet:gluten_free,check_date:diet:gluten_free,payment:interac,payment:contactless,drive_in,diet:vegan,air_conditioning,addr:country,comment,wheelchair:description,capacity,toilets,fax,diet:vegetarian,diet:meat,store_name,check_date:opening_hours,operator,alt_name,smoking,panoramax,start_date,payment:visa,payment:mastercard,pickup_window,highchair,official_name,addr:unit,old_name,branch,toilets:wheelchair,internet_access:fee,internet_access,wheelchair,level,addr:housename,washroom,store_ref,indoor_seating,gst_number,website,ref,phone,payment:debit_cards,payment:credit_cards,payment:cash,outdoor_seating,opening_hours:drive_through,opening_hours,drive_through,delivery,check_date,addr:street,addr:province,addr:postcode,addr:housenumber,addr:city,takeaway,name,cuisine,brand:wikipedia,brand:wikidata,brand
-79.4255447,43.6621451,n67344518,"67344518",node,fast_food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bloor Street West,,,"890",Toronto,,Tahini's,,,,
-79.4185373,43.6634152,n67344966,"67344966",node,fast_food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,no,,"09:00-00:30",no,,2025-06-17,Bloor Street West,Ontario,,"731",Toronto,yes,Subway,sandwich,,Q244457,Subway
-79.4345763,43.6598858,n67972568,"67972568",node,fast_food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Popeyes Louisiana Kitchen,"1",,,,,,,,,,,,,,,,,,,,,,,,2025-05-03,Bloor Street West,,M6H 1M7,"1115",Toronto,yes,Popeyes,chicken,en:Popeyes,Q1330910,Popeyes
-76.4925473,44.2330872,n109173815,"109173815",node,fast_food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1-613-542-1111,,,,,,"Su-We 11:00-02:00; Th-Su 11:00-03:00",,,2025-12-24,Princess Street,,K7L 1B8,"414",Kingston,yes,Pizza Pizza,pizza,en:Pizza Pizza,Q1194143,Pizza Pizza
-76.4928143,44.2335096,n109175361,"109175361",node,fast_food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Su-Th 11:00-23:00, Fr,Sa 11:00-04:00",,,2025-12-24,Princess Street,,,"421",Kingston,yes,Pita Pit,pita,en:Pita Pit,Q7757289,Pita Pit
-76.4922384,44.2332964,n109176631,"109176631",node,fast_food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,wlan,no,"0",,,,,,https://www.dairyqueen.com/en-ca/locations/on/kingston/399-12-princess-st/2123/,"2123",+1 613-548-7418,yes,yes,yes,no,,Mo-Su 10:30-22:30,no,yes,2025-12-24,Princess Street,Ontario,K7L 1B9,399 1/2,Kingston,yes,DQ Grill & Chill,"ice_cream;burger;chicken",en:Dairy Queen,Q1141226,DQ Grill & Chill
-79.3856241,43.6554926,n118421991,"118421991",node,fast_food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,2023-07-16,Dundas Street West,,,"150",,yes,Subway,sandwich,en:Subway (restaurant),Q244457,Subway
-79.4392606,43.6589099,n156867672,"156867672",node,fast_food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-10,Bloor Street West,,,"1193",Toronto,yes,Pizza Pizza,pizza,en:Pizza Pizza,Q1194143,Pizza Pizza
-79.4237798,43.6433231,n158701752,"158701752",node,fast_food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,"Su-We 11:00-02:00, Th-Sa 11:00-03:00",,yes,2026-02-14,Queen Street West,,M6J 1J3,"1124",Toronto,yes,Pizza Pizza,pizza,en:Pizza Pizza,Q1194143,Pizza Pizza
-79.4268414,43.6816823,n158712950,"158712950",node,fast_food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,2024-09-09,St. Clair Avenue West,,,"710",Toronto,yes,McDonald's,burger,en:McDonald's,Q38076,McDonald's
-76.489239,44.2325134,n160765969,"160765969",node,fast_food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022",yes,yes,,,,,Tim Hortons,Kingston - 312 Princess,,,wlan,,"0",,,,,,https://www.mcdonalds.com/ca/en-ca/location/kingston/kingston---312-princess/312-princess/40893.html,,+1 613-549-3999,,,yes,no,,24/7,no,yes,2025-12-24,Princess Street,Ontario,K7L 1B6,"312",Kingston,yes,McDonald's,burger,,Q38076,McDonald's
-76.4814741,44.22857,n175924707,"175924707",node,fast_food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Street,,,"176",Kingston,,White Mountain Ice Cream,ice_cream,,,
-79.4113057,43.6766677,n209247596,"209247596",node,fast_food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Pizza Nova,pizza,en:Pizza Nova,Q7199971,Pizza Nova
-79.9441998,43.2275009,n211287771,"211287771",node,fast_food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,yes,Wendy's,burger,en:Wendy's,Q550258,Wendy's
-79.4025124,43.6633466,n243955827,"243955827",node,fast_food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,no,,,,,2025-05-31,Spadina Avenue,,,"656",Toronto,,Cora Pizza,pizza,,,
-79.4122617,43.6525571,n245022511,"245022511",node,fast_food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,California Sandwiches,sandwich,,Q113001391,California Sandwiches
-79.5379325,43.5932619,n247134305,"247134305",node,fast_food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-19,Lake Shore Boulevard West,,,"3693",Etobicoke,yes,Mr. Sub,sandwich,en:Mr. Sub,Q6929225,Mr. Sub
-79.3981242,43.6450699,n249297585,"249297585",node,fast_food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-31,King Street West,,,"540",Toronto,,Four Brothers Pizza,pizza,,,
-79.4640231,43.9828404,n250649617,"250649617",node,fast_food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Harvey's,burger,en:Harvey's,Q1466184,Harvey's
-79.463049,43.984353,n250649618,"250649618",node,fast_food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/7,yes,,2026-01-31,,,,,,yes,McDonald's,burger,en:McDonald's,Q38076,McDonald's
-79.4463942,43.6388522,n251242043,"251242043",node,fast_food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1eb93856-bb71-4742-aef0-203947f9fdc6,,,,,,,,,,,,,,,,,"25031",,,,,+1-416-538-2444,,,,,,,no,,2025-06-04,The Queensway,,M6R 1B4,"10",Toronto,yes,McDonald's,burger,en:McDonald's,Q38076,McDonald's
